,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
organic_search,0.0,0.0,,0.5,0.0,0.0,-0.20000000000000007,0.0,-0.0
direct,0.0,0.0,,0.0,0.0,,0.5,0.0,0.0
paid_search,14.433333333333334,999.9999999999999,69.284064665127,11.3,1000.0000000000001,88.49557522123894,6.600000000000001,1000.0,151.51515151515147
email,23.766666666666666,1000.0,42.0757363253857,19.06666666666667,1000.0,52.44755244755244,23.199999999999996,1000.0,43.10344827586208
referral,151.86666666666667,1000.0,6.584723441615452,88.86666666666665,1000.0,11.252813203300828,87.00000000000003,1000.0,11.494252873563214
social,43.53333333333333,1000.0000000000001,22.97090352220521,46.13333333333334,999.9999999999999,21.676300578034677,22.933333333333337,1000.0,43.60465116279069
display,50.4,1000.0,19.841269841269842,19.133333333333333,1000.0,52.26480836236934,15.966666666666669,1000.0,62.6304801670146
